Dataset,Sample index,True class,Predicted class,True class name,Predicted class name,Correct,Method,Top features,Jaccard@10,Spearman,Cosine
Fused pseudo sensitivity,103,8,12,QuasarRAT,a310logger,False,LIME,disk__parent_size=0.0335827; disk__path_len=0.0322256; memory__total_processes=0.0236171; disk__parent_is_i386=0.0231943; memory__modules_count=0.0158829; disk__size_delta=0.0139832; memory__n_created_dll=0.0114315; disk__parent_sections=0.00931589; network__domains_per_conn=0.00538611; network__n_public_ips=0.00463343,0.6207126207126207,0.556575948820198,0.8021360232096718
Fused pseudo sensitivity,103,8,12,QuasarRAT,a310logger,False,SHAP,disk__parent_size=0.124681; disk__path_len=0.0578523; memory__total_processes=0.0357321; disk__size_delta=0.0308144; network__domains_per_conn=0.0303569; memory__n_created_tmp=0.0257852; network__avg_domain_len=0.0233692; disk__parent_is_i386=0.0212485; network__mean_domain_entropy=0.0204973; memory__path_len=0.0136751,0.8136363636363637,0.9022077922077922,0.962997278228148
Fused pseudo sensitivity,103,8,12,QuasarRAT,a310logger,False,SRC,disk__parent_is_i386=0.25394; network__avg_domain_len=0.228709; network__n_public_service_domains=0.219837; network__mean_domain_entropy=0.207422; network__domains_per_conn=0.198005; memory__path_entropy=0.178703; memory__n_created_tmp=0.171036; network__n_unique_tlds=0.12504; disk__size_delta=0.0901477; disk__parent_size=0.0884585,0.6327505827505828,0.6778571428571428,0.9129304637896011
Fused pseudo sensitivity,87,10,6,Socks5Systemz,NanoCore,False,LIME,memory__total_processes=0.0737333; disk__parent_is_i386=0.0422189; network__n_unique_ips=0.0379457; memory__n_created_dll=0.0377191; disk__parent_is_dotnet=0.0376976; disk__parent_size=0.0362976; network__n_public_ips=0.0325396; disk__parent_sections=0.0263112; memory__n_created_tmp=0.0249857; network__mean_domain_entropy=0.0187083,0.6789044289044288,0.737077922077922,0.8991226445987579
Fused pseudo sensitivity,87,10,6,Socks5Systemz,NanoCore,False,SHAP,disk__parent_size=0.0936171; disk__parent_is_i386=0.0814986; disk__parent_sections=0.0661532; memory__total_processes=0.0510043; disk__size_delta=0.0494531; disk__path_len=0.0479727; memory__n_created_dll=0.0383383; network__avg_domain_len=0.0315615; network__n_unique_ips=0.0294108; network__n_public_ips=0.0289389,0.8435897435897436,0.9672727272727274,0.9865272698146601
Fused pseudo sensitivity,87,10,6,Socks5Systemz,NanoCore,False,SRC,network__avg_domain_len=0.575339; network__mean_domain_entropy=0.500141; disk__parent_is_i386=0.316363; memory__n_created_tmp=0.310353; memory__path_entropy=0.267598; memory__path_len=0.194055; disk__path_len=0.13905; network__n_public_service_domains=0.0769128; memory__modules_count=0.0758007; network__n_unique_ips=0.0741877,0.6216283716283716,0.6612337662337662,0.9356093233420733
Fused pseudo sensitivity,13,12,5,a310logger,MedusaLocker,False,LIME,disk__parent_is_dotnet=0.0377961; disk__parent_is_i386=0.0178486; disk__parent_size=0.0156205; disk__size_delta=0.0136604; disk__path_len=0.00974313; memory__total_processes=0.00964175; disk__parent_sections=0.00834593; memory__n_created_dll=0.00799332; network__n_unique_tlds=0.00735822; network__n_public_service_domains=0.0053431,0.7027972027972028,0.6122271556611567,0.5572697338893227
Fused pseudo sensitivity,13,12,5,a310logger,MedusaLocker,False,SHAP,disk__parent_is_dotnet=0.0801947; disk__size_delta=0.0588408; disk__path_len=0.0461373; disk__parent_is_i386=0.0285016; disk__parent_sections=0.0215271; memory__n_created_dll=0.0213723; memory__total_processes=0.0205208; network__n_unique_ips=0.019058; network__n_public_ips=0.0179922; memory__path_len=0.0157146,0.8136363636363637,0.9124025974025972,0.9699888838385459
Fused pseudo sensitivity,13,12,5,a310logger,MedusaLocker,False,SRC,network__mean_domain_entropy=0.105985; network__avg_domain_len=0.100374; network__domains_per_conn=0.0896711; disk__path_len=0.0839235; disk__size_delta=0.0790925; disk__parent_size=0.0544123; memory__path_entropy=0.0416294; memory__n_registry_hklm=0.0397786; memory__modules_count=0.0262229; memory__n_created_dll=0.0100646,0.701032301032301,0.790064935064935,0.9378202641009883
Fused pseudo sensitivity,115,14,16,lockbit,redline,False,LIME,memory__total_processes=0.254731; memory__n_created_dll=0.0913273; network__n_public_ips=0.0355472; disk__parent_is_i386=0.0254777; disk__path_len=0.023887; network__n_unique_ips=0.0205022; memory__n_created_tmp=0.0158357; network__domains_per_conn=0.01308; network__mean_domain_entropy=0.0125563; memory__path_len=0.0120512,0.5421911421911421,0.5267532467532466,0.8186623666658337
Fused pseudo sensitivity,115,14,16,lockbit,redline,False,SHAP,memory__total_processes=0.158926; memory__n_created_dll=0.0969713; disk__path_len=0.0703446; disk__parent_size=0.0511293; memory__n_created_tmp=0.048658; memory__path_entropy=0.0388946; network__domains_per_conn=0.0244038; disk__parent_sections=0.0188657; disk__parent_is_i386=0.017694; disk__parent_is_dotnet=0.0135526,0.7198135198135198,0.8524675324675324,0.9840170043750776
Fused pseudo sensitivity,115,14,16,lockbit,redline,False,SRC,disk__parent_is_i386=0.0860115; disk__path_len=0.0853599; memory__total_processes=0.0557418; memory__path_len=0.0521249; memory__path_entropy=0.0492266; network__avg_domain_len=0.0430384; disk__parent_sections=0.0406533; network__n_public_service_domains=0.0384893; memory__n_created_dll=0.0370216; disk__parent_size=0.0358521,0.6029326066090771,0.5488961038961039,0.8565542968213858
Fused pseudo sensitivity,83,15,16,lumma,redline,False,LIME,memory__total_processes=0.254447; memory__n_created_dll=0.0639684; disk__parent_is_i386=0.0389722; network__n_unique_ips=0.0307223; memory__n_registry_hklm=0.0280875; disk__parent_is_dotnet=0.0265784; network__n_public_ips=0.0253152; disk__parent_size=0.0244441; memory__n_created_tmp=0.0225564; network__domains_per_conn=0.0211835,0.6369463869463868,0.6205194805194805,0.8605692088664917
Fused pseudo sensitivity,83,15,16,lumma,redline,False,SHAP,memory__total_processes=0.170793; disk__parent_size=0.0520041; network__domains_per_conn=0.0365478; memory__n_registry_hklm=0.0317271; memory__n_created_tmp=0.0309547; disk__parent_is_i386=0.0294625; disk__path_len=0.0242522; network__avg_domain_len=0.0213691; network__n_public_ips=0.0213598; memory__modules_count=0.0209138,0.7057109557109557,0.8935064935064935,0.9904771413171242
Fused pseudo sensitivity,83,15,16,lumma,redline,False,SRC,disk__size_delta=0.242092; disk__parent_size=0.192964; network__avg_domain_len=0.191671; memory__modules_count=0.173343; network__mean_domain_entropy=0.143688; network__n_unique_tlds=0.139655; memory__n_created_tmp=0.100999; memory__path_len=0.0950261; memory__path_entropy=0.0884283; memory__n_registry_hklm=0.075667,0.5114219114219115,0.5049999999999999,0.8441055485386952
Fused pseudo sensitivity,147,0,0,Akira,Akira,True,LIME,memory__total_processes=0.033565; disk__parent_is_dotnet=0.0271707; memory__n_created_dll=0.0139205; disk__parent_size=0.0133255; disk__parent_is_i386=0.0130415; memory__n_created_tmp=0.01132; network__avg_domain_len=0.00631066; memory__modules_count=0.00590274; memory__n_registry_hklm=0.00513759; disk__parent_sections=0.00457003,0.6724941724941724,0.7087662337662338,0.580541176929548
Fused pseudo sensitivity,147,0,0,Akira,Akira,True,SHAP,memory__n_created_dll=0.0908201; disk__parent_size=0.0865155; disk__parent_is_dotnet=0.0695273; memory__total_processes=0.0686708; disk__size_delta=0.0647537; disk__path_len=0.0428053; memory__n_created_tmp=0.0411208; memory__n_registry_hklm=0.0359786; memory__path_len=0.0347858; disk__parent_is_i386=0.0320086,0.7375291375291374,0.7983116883116883,0.919594334633981
Fused pseudo sensitivity,147,0,0,Akira,Akira,True,SRC,disk__path_len=0.0673992; disk__parent_size=0.0668966; memory__n_registry_hklm=0.0599509; network__n_public_service_domains=0.0543339; network__n_unique_tlds=0.0459781; network__avg_domain_len=0.042895; disk__parent_is_i386=0.037021; memory__path_len=0.034991; memory__n_created_dll=0.031951; memory__modules_count=0.0299667,0.5926198801198802,0.5362987012987013,0.8808117959047188
Fused pseudo sensitivity,10,1,1,AsyncRAT,AsyncRAT,True,LIME,disk__parent_size=0.0198889; disk__parent_is_dotnet=0.0184394; memory__total_processes=0.0162933; memory__n_created_dll=0.0126232; memory__path_len=0.0114504; disk__path_len=0.0110213; network__avg_domain_len=0.00967054; network__mean_domain_entropy=0.00889034; memory__n_registry_hklm=0.00789129; memory__n_created_tmp=0.00769451,0.4540750915750916,0.40838303567490525,0.2955060748736792
Fused pseudo sensitivity,10,1,1,AsyncRAT,AsyncRAT,True,SHAP,disk__parent_size=0.305968; disk__parent_is_dotnet=0.111163; disk__size_delta=0.0750558; memory__total_processes=0.0651401; disk__parent_is_i386=0.0494761; memory__n_created_dll=0.043062; disk__path_len=0.0428911; network__avg_domain_len=0.030478; disk__parent_sections=0.0299658; memory__n_created_tmp=0.0265616,0.8833333333333332,0.8677922077922077,0.9132911964406277
Fused pseudo sensitivity,10,1,1,AsyncRAT,AsyncRAT,True,SRC,network__mean_domain_entropy=0.0387187; disk__path_len=0.0347189; network__avg_domain_len=0.0340965; memory__path_len=0.0252935; network__n_unique_tlds=0.0159624; disk__parent_sections=0.0137954; memory__path_entropy=0.0135576; memory__n_created_dll=0.0122576; memory__n_created_tmp=0.0110191; disk__size_delta=0.00829957,0.33028442146089204,0.04831168831168831,0.6696118551893274
Fused pseudo sensitivity,6,2,2,Black Suit,Black Suit,True,LIME,disk__parent_is_dotnet=0.0223678; memory__total_processes=0.0175826; disk__parent_size=0.0134556; memory__n_registry_hklm=0.0121319; disk__parent_is_i386=0.0115659; memory__n_created_dll=0.00960953; network__n_unique_ips=0.00647752; network__n_public_ips=0.0059813; disk__size_delta=0.00545302; disk__path_len=0.00513259,0.7144522144522144,0.6173376623376623,0.6021878216154494
Fused pseudo sensitivity,6,2,2,Black Suit,Black Suit,True,SHAP,memory__total_processes=0.0595735; disk__parent_size=0.0531167; memory__n_registry_hklm=0.0426563; disk__parent_is_dotnet=0.0416123; disk__parent_is_i386=0.0209083; memory__n_created_tmp=0.0207541; memory__path_len=0.0206265; memory__modules_count=0.0200352; network__n_unique_ips=0.0169898; disk__parent_sections=0.0166996,0.772027972027972,0.8660389610389609,0.9678138456668444
Fused pseudo sensitivity,6,2,2,Black Suit,Black Suit,True,SRC,network__mean_domain_entropy=0.143109; disk__size_delta=0.142229; network__domains_per_conn=0.126017; disk__parent_is_dotnet=0.0661325; memory__n_created_tmp=0.0535802; network__avg_domain_len=0.0463413; memory__n_created_dll=0.0395088; disk__parent_is_i386=0.0362103; memory__n_registry_hklm=0.0318583; memory__path_len=0.024997,0.5994671994671994,0.598181818181818,0.9266087552258592
Fused pseudo sensitivity,17,3,3,CoinMiner,CoinMiner,True,LIME,disk__size_delta=0.0441127; disk__parent_size=0.0359445; memory__total_processes=0.0343082; disk__parent_sections=0.023501; memory__modules_count=0.0222331; disk__parent_is_dotnet=0.0215002; memory__n_created_dll=0.0202022; network__avg_domain_len=0.0141612; network__n_public_ips=0.0141352; network__n_unique_ips=0.0113948,0.6532634032634032,0.660064935064935,0.8052437383474593
Fused pseudo sensitivity,17,3,3,CoinMiner,CoinMiner,True,SHAP,disk__size_delta=0.0714285; disk__parent_size=0.0670346; disk__parent_is_dotnet=0.0340813; disk__parent_is_i386=0.0291115; network__mean_domain_entropy=0.0284872; memory__modules_count=0.0283048; memory__n_registry_hklm=0.0232269; disk__path_len=0.0208394; disk__parent_sections=0.020144; memory__total_processes=0.0192161,0.6754079254079253,0.7259090909090908,0.8504892595996105
Fused pseudo sensitivity,17,3,3,CoinMiner,CoinMiner,True,SRC,memory__total_processes=0.941823; network__domains_per_conn=0.396779; disk__parent_is_gui=0.376922; memory__n_registry_hklm=0.279151; network__avg_domain_len=0.256291; memory__path_len=0.240075; disk__parent_sections=0.221569; disk__path_len=0.187679; network__n_unique_tlds=0.145954; memory__path_entropy=0.142824,0.6562770562770563,0.6845454545454546,0.8990511168180941
Fused pseudo sensitivity,58,4,4,Kovter,Kovter,True,LIME,memory__total_processes=0.053804; disk__parent_is_i386=0.0471812; disk__parent_is_dotnet=0.0272902; memory__n_created_dll=0.0266721; disk__size_delta=0.0246518; disk__parent_size=0.0214956; disk__parent_sections=0.0194103; network__mean_domain_entropy=0.0186395; network__avg_domain_len=0.0136355; memory__n_registry_hklm=0.0122416,0.7156177156177156,0.6811688311688312,0.5716387850854444
Fused pseudo sensitivity,58,4,4,Kovter,Kovter,True,SHAP,disk__size_delta=0.198442; disk__parent_size=0.155931; memory__total_processes=0.104933; disk__parent_is_i386=0.0750396; network__n_public_ips=0.0462966; network__n_unique_ips=0.0458343; disk__parent_sections=0.045441; disk__parent_is_dotnet=0.0415982; memory__n_created_dll=0.0327376; memory__modules_count=0.0301312,0.8863636363636361,0.9629870129870131,0.9951485984738422
Fused pseudo sensitivity,58,4,4,Kovter,Kovter,True,SRC,memory__n_registry_hklm=0.175816; disk__path_len=0.145602; network__mean_domain_entropy=0.117866; disk__parent_sections=0.111645; network__avg_domain_len=0.0786531; disk__parent_is_i386=0.07226; disk__size_delta=0.0582566; memory__path_len=0.057124; memory__path_entropy=0.0542931; disk__parent_is_dotnet=0.0529537,0.4639194139194139,0.5114285714285715,0.8471790444590145
Fused pseudo sensitivity,168,5,5,MedusaLocker,MedusaLocker,True,LIME,disk__parent_is_dotnet=0.0343489; disk__parent_is_i386=0.0162518; disk__parent_size=0.0131189; memory__total_processes=0.0113157; disk__size_delta=0.0112707; memory__n_created_dll=0.00635648; disk__path_len=0.00583752; memory__n_registry_hklm=0.00556484; network__n_public_ips=0.00447976; disk__parent_sections=0.00444277,0.7208624708624708,0.6721602589391814,0.666045766926981
Fused pseudo sensitivity,168,5,5,MedusaLocker,MedusaLocker,True,SHAP,disk__parent_is_dotnet=0.0590078; disk__size_delta=0.0558905; disk__parent_size=0.0503722; memory__total_processes=0.0395005; memory__n_registry_hklm=0.0305109; disk__parent_is_i386=0.0278834; disk__parent_sections=0.0208765; memory__n_created_tmp=0.0197432; network__mean_domain_entropy=0.0139685; network__avg_domain_len=0.0118349,0.7375291375291375,0.8753896103896104,0.96958145759434
Fused pseudo sensitivity,168,5,5,MedusaLocker,MedusaLocker,True,SRC,network__domains_per_conn=0.314507; memory__n_created_tmp=0.210283; disk__parent_is_i386=0.184035; network__avg_domain_len=0.171658; memory__n_registry_hklm=0.131481; memory__path_entropy=0.114647; network__mean_domain_entropy=0.111636; memory__total_processes=0.0667141; memory__path_len=0.0638296; memory__n_created_dll=0.0543165,0.909090909090909,0.9199350649350648,0.9933486098930479
Fused pseudo sensitivity,7,6,6,NanoCore,NanoCore,True,LIME,memory__total_processes=0.0712809; memory__n_created_dll=0.0516606; disk__parent_is_i386=0.0437644; disk__parent_is_dotnet=0.037149; network__n_unique_ips=0.0347146; network__n_public_ips=0.0271409; disk__parent_sections=0.0268513; disk__path_len=0.0221563; memory__n_created_tmp=0.0220633; network__n_public_service_domains=0.0151901,0.6478687978687978,0.6678571428571429,0.8627453442713169
Fused pseudo sensitivity,7,6,6,NanoCore,NanoCore,True,SHAP,disk__parent_sections=0.0900506; disk__parent_is_i386=0.078872; disk__parent_size=0.0648858; memory__total_processes=0.061919; network__n_public_ips=0.0516533; network__n_unique_ips=0.0491084; memory__n_created_dll=0.0483061; disk__size_delta=0.0469104; disk__path_len=0.0432945; memory__n_created_tmp=0.0355863,0.8848484848484848,0.9010389610389609,0.9638445374701746
Fused pseudo sensitivity,7,6,6,NanoCore,NanoCore,True,SRC,disk__size_delta=0.12743; disk__parent_sections=0.0828211; memory__n_created_tmp=0.067765; disk__parent_is_i386=0.0532171; memory__total_processes=0.0494602; disk__path_len=0.0481668; memory__path_len=0.0439583; memory__n_created_dll=0.0439028; network__mean_domain_entropy=0.0421752; network__domains_per_conn=0.0323396,0.4356631930161342,0.22422077922077918,0.7769197614203541
Fused pseudo sensitivity,64,7,7,Phorpiex,Phorpiex,True,LIME,disk__parent_size=0.0400954; network__n_public_ips=0.0394464; memory__total_processes=0.0377845; network__n_unique_ips=0.0367841; disk__parent_is_dotnet=0.0182726; disk__size_delta=0.0157542; memory__n_created_dll=0.0146001; memory__path_len=0.011606; network__avg_domain_len=0.0103008; disk__parent_sections=0.00968497,0.639027639027639,0.6699999999999998,0.6907834563836104
Fused pseudo sensitivity,64,7,7,Phorpiex,Phorpiex,True,SHAP,disk__parent_size=0.342331; network__n_unique_ips=0.104315; network__n_public_ips=0.0991949; memory__total_processes=0.0733431; disk__size_delta=0.0660026; disk__parent_is_dotnet=0.0593393; network__avg_domain_len=0.0283471; disk__parent_sections=0.0264213; network__mean_domain_entropy=0.0201089; memory__n_created_dll=0.0184852,0.8893939393939394,0.9617532467532468,0.871103878670864
Fused pseudo sensitivity,64,7,7,Phorpiex,Phorpiex,True,SRC,disk__size_delta=0.0411272; network__n_unique_tlds=0.0375777; network__n_public_ips=0.0255536; network__n_unique_ips=0.0255514; disk__parent_size=0.0198963; network__avg_domain_len=0.0173775; disk__parent_is_dotnet=0.0173254; network__domains_per_conn=0.0170603; memory__n_registry_hklm=0.0147832; network__n_public_service_domains=0.00947045,0.47408424908424907,0.37987012987012986,0.7600282181320235
Fused pseudo sensitivity,42,8,8,QuasarRAT,QuasarRAT,True,LIME,memory__n_registry_hklm=0.0333208; memory__n_created_dll=0.0275261; network__domains_per_conn=0.0171379; disk__parent_is_i386=0.0144944; memory__total_processes=0.013221; network__n_unique_tlds=0.0117449; memory__modules_count=0.0117428; disk__size_delta=0.0113447; network__mean_domain_entropy=0.00984042; memory__n_created_tmp=0.00844469,0.6373792873792873,0.616103896103896,0.4532612894772138
Fused pseudo sensitivity,42,8,8,QuasarRAT,QuasarRAT,True,SHAP,disk__parent_size=0.148878; memory__n_registry_hklm=0.133422; disk__size_delta=0.121451; disk__parent_is_dotnet=0.073376; memory__n_created_dll=0.0650141; memory__n_created_tmp=0.0631214; disk__parent_is_i386=0.0550906; memory__modules_count=0.0471597; memory__total_processes=0.0373053; disk__path_len=0.0216626,0.9272727272727271,0.9172077922077921,0.9463659008996386
Fused pseudo sensitivity,42,8,8,QuasarRAT,QuasarRAT,True,SRC,network__domains_per_conn=0.138578; network__mean_domain_entropy=0.135812; disk__parent_is_dotnet=0.118657; memory__n_created_tmp=0.112381; memory__path_entropy=0.105899; network__avg_domain_len=0.0642399; disk__parent_size=0.0639517; memory__n_created_dll=0.0616416; network__n_unique_ips=0.054577; network__n_public_ips=0.0545767,0.7741092241092241,0.9240909090909091,0.9827239050803931
Fused pseudo sensitivity,3,9,9,SalatStealer,SalatStealer,True,LIME,disk__parent_is_i386=0.051306; memory__total_processes=0.0429535; memory__modules_count=0.0290062; memory__n_created_tmp=0.0238962; memory__n_registry_hklm=0.0175936; memory__n_created_dll=0.0174043; network__n_unique_ips=0.0125124; network__n_public_ips=0.0100742; disk__parent_size=0.0100002; network__avg_domain_len=0.00795814,0.6536130536130534,0.6281168831168831,0.7264571009981102
Fused pseudo sensitivity,3,9,9,SalatStealer,SalatStealer,True,SHAP,memory__n_registry_hklm=0.0987784; memory__modules_count=0.081663; memory__n_created_tmp=0.0477055; memory__n_created_dll=0.0349756; memory__total_processes=0.0323682; disk__parent_is_dotnet=0.027325; disk__parent_size=0.0258016; network__domains_per_conn=0.0178348; disk__parent_is_i386=0.0168952; network__avg_domain_len=0.0136732,0.8560606060606061,0.9236363636363636,0.9931774413068872
Fused pseudo sensitivity,3,9,9,SalatStealer,SalatStealer,True,SRC,disk__size_delta=0.0816008; disk__parent_sections=0.0769675; disk__path_len=0.0628862; network__mean_domain_entropy=0.0553369; memory__n_registry_hklm=0.049704; memory__n_created_dll=0.0438328; memory__path_len=0.0426131; disk__parent_is_i386=0.0420719; network__avg_domain_len=0.0420257; disk__parent_size=0.0388142,0.4991966366966366,0.4378571428571429,0.8651981391505951
